"pop_1","pop_2","dist","Binomial","Longitude1","Latitude1","Longitude2","Latitude2","first_year1","last_year1","first_year2","last_year2","cost"
"Acanthis_flammea-2","Acanthis_flammea-1",3242.20599291779,"Acanthis_flammea",-60.79843,53.003392,-113.6425,60.108611,1974,2014,1973,2014,3132.19802555557
"Acanthis_flammea-3","Acanthis_flammea-1",1233.44799554448,"Acanthis_flammea",-136.036766,63.748366,-113.6425,60.108611,1973,2014,1973,2014,942.834036658376
"Acanthis_flammea-4","Acanthis_flammea-1",596.003620233894,"Acanthis_flammea",-120.52011,64.407745,-113.6425,60.108611,1976,2014,1973,2014,466.100399832471
"Acanthis_flammea-3","Acanthis_flammea-2",4270.32558735898,"Acanthis_flammea",-136.036766,63.748366,-60.79843,53.003392,1973,2014,1974,2014,3940.33903378297
"Acanthis_flammea-4","Acanthis_flammea-2",3521.95080512561,"Acanthis_flammea",-120.52011,64.407745,-60.79843,53.003392,1976,2014,1974,2014,3463.60539695707
"Acanthis_flammea-4","Acanthis_flammea-3",756.729116508275,"Acanthis_flammea",-120.52011,64.407745,-136.036766,63.748366,1976,2014,1973,2014,490.666134692356
"Accipiter_cooperii-2","Accipiter_cooperii-1",2817.65210045703,"Accipiter_cooperii",-118.08333,34.11667,-87.08806,36.29417,1968,2007,1966,2007,1386.60820249413
"Accipiter_cooperii-3","Accipiter_cooperii-1",3615.041405138,"Accipiter_cooperii",-125.441985,56.159482,-87.08806,36.29417,1970,2014,1966,2007,2744.76494742851
"Accipiter_cooperii-4","Accipiter_cooperii-1",2271.00596734602,"Accipiter_cooperii",-97.404876,55.443204,-87.08806,36.29417,1970,2014,1966,2007,1688.78327601267
"Accipiter_cooperii-5","Accipiter_cooperii-1",2555.86893038881,"Accipiter_cooperii",-105.758445,55.410147,-87.08806,36.29417,1970,2014,1966,2007,1917.72270231299
"Accipiter_cooperii-6","Accipiter_cooperii-1",727.541628711549,"Accipiter_cooperii",-83.05,42.033333,-87.08806,36.29417,1974,2004,1966,2007,521.230598401056
"Accipiter_cooperii-7","Accipiter_cooperii-1",1685.28154540184,"Accipiter_cooperii",-87.125633,51.433288,-87.08806,36.29417,1970,2014,1966,2007,1175.59267174158
"Accipiter_cooperii-8","Accipiter_cooperii-1",2150.493326192,"Accipiter_cooperii",-73.107078,52.941847,-87.08806,36.29417,1973,2014,1966,2007,1516.16726947453
"Accipiter_cooperii-3","Accipiter_cooperii-2",2517.5417850768,"Accipiter_cooperii",-125.441985,56.159482,-118.08333,34.11667,1970,2014,1968,2007,1727.47690741896
"Accipiter_cooperii-4","Accipiter_cooperii-2",2858.07623140819,"Accipiter_cooperii",-97.404876,55.443204,-118.08333,34.11667,1970,2014,1968,2007,1989.30655784185
"Accipiter_cooperii-5","Accipiter_cooperii-2",2553.88104864365,"Accipiter_cooperii",-105.758445,55.410147,-118.08333,34.11667,1970,2014,1968,2007,1847.29137870769
"Accipiter_cooperii-6","Accipiter_cooperii-2",3169.40765445932,"Accipiter_cooperii",-83.05,42.033333,-118.08333,34.11667,1974,2004,1968,2007,1840.54540289377
"Accipiter_cooperii-7","Accipiter_cooperii-2",3141.27876841855,"Accipiter_cooperii",-87.125633,51.433288,-118.08333,34.11667,1970,2014,1968,2007,2105.5991067315
