"pop_1","pop_2","dist","Binomial","Longitude1","Latitude1","Longitude2","Latitude2","first_year1","last_year1","first_year2","last_year2","cost"
"Acanthis_flammea-2","Acanthis_flammea-1",3242.20599291779,"Acanthis_flammea",-60.79843,53.003392,-113.6425,60.108611,1974,2014,1973,2014,23584035.3094696
"Acanthis_flammea-3","Acanthis_flammea-1",1233.44799554448,"Acanthis_flammea",-136.036766,63.748366,-113.6425,60.108611,1973,2014,1973,2014,5683062.20776903
"Acanthis_flammea-4","Acanthis_flammea-1",596.003620233894,"Acanthis_flammea",-120.52011,64.407745,-113.6425,60.108611,1976,2014,1973,2014,3650357.37216759
"Acanthis_flammea-3","Acanthis_flammea-2",4270.32558735898,"Acanthis_flammea",-136.036766,63.748366,-60.79843,53.003392,1973,2014,1974,2014,27986069.4512898
"Acanthis_flammea-4","Acanthis_flammea-2",3521.95080512561,"Acanthis_flammea",-120.52011,64.407745,-60.79843,53.003392,1976,2014,1974,2014,25703424.0473652
"Acanthis_flammea-4","Acanthis_flammea-3",756.729116508275,"Acanthis_flammea",-120.52011,64.407745,-136.036766,63.748366,1976,2014,1973,2014,2444900.89657138
"Accipiter_cooperii-2","Accipiter_cooperii-1",2817.65210045703,"Accipiter_cooperii",-118.08333,34.11667,-87.08806,36.29417,1968,2007,1966,2007,12508977.8434311
"Accipiter_cooperii-3","Accipiter_cooperii-1",3615.041405138,"Accipiter_cooperii",-125.441985,56.159482,-87.08806,36.29417,1970,2014,1966,2007,24756968.4372695
"Accipiter_cooperii-4","Accipiter_cooperii-1",2271.00596734602,"Accipiter_cooperii",-97.404876,55.443204,-87.08806,36.29417,1970,2014,1966,2007,16614794.8432468
"Accipiter_cooperii-5","Accipiter_cooperii-1",2555.86893038881,"Accipiter_cooperii",-105.758445,55.410147,-87.08806,36.29417,1970,2014,1966,2007,18917244.8298616
"Accipiter_cooperii-6","Accipiter_cooperii-1",727.541628711549,"Accipiter_cooperii",-83.05,42.033333,-87.08806,36.29417,1974,2004,1966,2007,5324901.46276737
"Accipiter_cooperii-7","Accipiter_cooperii-1",1685.28154540184,"Accipiter_cooperii",-87.125633,51.433288,-87.08806,36.29417,1970,2014,1966,2007,11966452.2803676
"Accipiter_cooperii-8","Accipiter_cooperii-1",2150.493326192,"Accipiter_cooperii",-73.107078,52.941847,-87.08806,36.29417,1973,2014,1966,2007,15275282.3263325
"Accipiter_cooperii-3","Accipiter_cooperii-2",2517.5417850768,"Accipiter_cooperii",-125.441985,56.159482,-118.08333,34.11667,1970,2014,1968,2007,17054992.961232
"Accipiter_cooperii-4","Accipiter_cooperii-2",2858.07623140819,"Accipiter_cooperii",-97.404876,55.443204,-118.08333,34.11667,1970,2014,1968,2007,19933407.176954
"Accipiter_cooperii-5","Accipiter_cooperii-2",2553.88104864365,"Accipiter_cooperii",-105.758445,55.410147,-118.08333,34.11667,1970,2014,1968,2007,18354586.7404049
"Accipiter_cooperii-6","Accipiter_cooperii-2",3169.40765445932,"Accipiter_cooperii",-83.05,42.033333,-118.08333,34.11667,1974,2004,1968,2007,17121758.9010169
"Accipiter_cooperii-7","Accipiter_cooperii-2",3141.27876841855,"Accipiter_cooperii",-87.125633,51.433288,-118.08333,34.11667,1970,2014,1968,2007,20324212.5716055
"Accipiter_cooperii-8","Accipiter_cooperii-2",4098.7448311238,"Accipiter_cooperii",-73.107078,52.941847,-118.08333,34.11667,1973,2014,1968,2007,25604871.1619487
"Accipiter_cooperii-4","Accipiter_cooperii-3",1743.94409296561,"Accipiter_cooperii",-97.404876,55.443204,-125.441985,56.159482,1970,2014,1970,2014,9873975.15806541
"Accipiter_cooperii-5","Accipiter_cooperii-3",1230.70581655474,"Accipiter_cooperii",-105.758445,55.410147,-125.441985,56.159482,1970,2014,1970,2014,7052833.15753991
"Accipiter_cooperii-6","Accipiter_cooperii-3",3395.39023121664,"Accipiter_cooperii",-83.05,42.033333,-125.441985,56.159482,1974,2004,1970,2014,22488562.5347124
"Accipiter_cooperii-7","Accipiter_cooperii-3",2538.82553556508,"Accipiter_cooperii",-87.125633,51.433288,-125.441985,56.159482,1970,2014,1970,2014,15402658.3519329
"Accipiter_cooperii-8","Accipiter_cooperii-3",3315.67886062118,"Accipiter_cooperii",-73.107078,52.941847,-125.441985,56.159482,1973,2014,1970,2014,21035009.3304878
"Accipiter_cooperii-5","Accipiter_cooperii-4",527.385762266412,"Accipiter_cooperii",-105.758445,55.410147,-97.404876,55.443204,1970,2014,1970,2014,3490256.86954655
"Accipiter_cooperii-6","Accipiter_cooperii-4",1819.57134380548,"Accipiter_cooperii",-83.05,42.033333,-97.404876,55.443204,1974,2004,1970,2014,13219329.99421
"Accipiter_cooperii-7","Accipiter_cooperii-4",813.544757769533,"Accipiter_cooperii",-87.125633,51.433288,-97.404876,55.443204,1970,2014,1970,2014,5905927.06685705
"Accipiter_cooperii-8","Accipiter_cooperii-4",1598.24787924074,"Accipiter_cooperii",-73.107078,52.941847,-97.404876,55.443204,1973,2014,1970,2014,11538278.045412
"Accipiter_cooperii-6","Accipiter_cooperii-5",2217.2279406548,"Accipiter_cooperii",-83.05,42.033333,-105.758445,55.410147,1974,2004,1970,2014,15965047.3813245
"Accipiter_cooperii-7","Accipiter_cooperii-5",1308.11982306877,"Accipiter_cooperii",-87.125633,51.433288,-105.758445,55.410147,1970,2014,1970,2014,8651644.45397164
"Accipiter_cooperii-8","Accipiter_cooperii-5",2125.04314211773,"Accipiter_cooperii",-73.107078,52.941847,-105.758445,55.410147,1973,2014,1970,2014,14283995.4325266
"Accipiter_cooperii-7","Accipiter_cooperii-6",1091.1791466328,"Accipiter_cooperii",-87.125633,51.433288,-83.05,42.033333,1970,2014,1974,2004,7622396.8841168
"Accipiter_cooperii-8","Accipiter_cooperii-6",1423.20834857335,"Accipiter_cooperii",-73.107078,52.941847,-83.05,42.033333,1973,2014,1974,2004,10111585.1854813
"Accipiter_cooperii-8","Accipiter_cooperii-7",969.726583565284,"Accipiter_cooperii",-73.107078,52.941847,-87.125633,51.433288,1973,2014,1970,2014,6542493.30200111
"Accipiter_gentilis-2","Accipiter_gentilis-1",3770.19872045143,"Accipiter_gentilis",-62.735984,45.290147,-114.807219,55.142948,1970,2014,1972,2012,24302133.2818065
"Accipiter_gentilis-3","Accipiter_gentilis-1",3153.88075000417,"Accipiter_gentilis",-69.666667,48.15,-114.807219,55.142948,1994,2005,1972,2012,20299861.9418844
"Accipiter_gentilis-4","Accipiter_gentilis-1",2720.83180223154,"Accipiter_gentilis",-83.05,42.033333,-114.807219,55.142948,1975,2004,1972,2012,18481530.8974365
"Accipiter_gentilis-5","Accipiter_gentilis-1",676.774941061268,"Accipiter_gentilis",-125.441985,56.159482,-114.807219,55.142948,1970,2014,1972,2012,4200092.57108684
"Accipiter_gentilis-6","Accipiter_gentilis-1",3457.01678326725,"Accipiter_gentilis",-66.291594,46.666605,-114.807219,55.142948,1970,2014,1972,2012,22058552.5982174
"Accipiter_gentilis-7","Accipiter_gentilis-1",2695.8157002271,"Accipiter_gentilis",-73.107078,52.941847,-114.807219,55.142948,1986,2014,1972,2012,17982366.3467338
"Accipiter_gentilis-8","Accipiter_gentilis-1",574.141163101266,"Accipiter_gentilis",-105.758445,55.410147,-114.807219,55.142948,1970,2014,1972,2012,4000190.17378583
"Accipiter_gentilis-3","Accipiter_gentilis-2",616.991548839454,"Accipiter_gentilis",-69.666667,48.15,-62.735984,45.290147,1994,2005,1970,2014,5214911.17083612
"Accipiter_gentilis-4","Accipiter_gentilis-2",1670.79864882226,"Accipiter_gentilis",-83.05,42.033333,-62.735984,45.290147,1975,2004,1970,2014,10462192.1677753
"Accipiter_gentilis-5","Accipiter_gentilis-2",4414.03644038297,"Accipiter_gentilis",-125.441985,56.159482,-62.735984,45.290147,1970,2014,1970,2014,27354776.2655606
"Accipiter_gentilis-6","Accipiter_gentilis-2",314.81439847364,"Accipiter_gentilis",-66.291594,46.666605,-62.735984,45.290147,1970,2014,1970,2014,2389773.9540751
"Accipiter_gentilis-7","Accipiter_gentilis-2",1136.40367599816,"Accipiter_gentilis",-73.107078,52.941847,-62.735984,45.290147,1986,2014,1970,2014,9222770.24195081
"Accipiter_gentilis-8","Accipiter_gentilis-2",3196.25562815103,"Accipiter_gentilis",-105.758445,55.410147,-62.735984,45.290147,1970,2014,1970,2014,20603762.3675994
"Accipiter_gentilis-4","Accipiter_gentilis-3",1250.24739204417,"Accipiter_gentilis",-83.05,42.033333,-69.666667,48.15,1975,2004,1994,2005,8043985.3425493
"Accipiter_gentilis-5","Accipiter_gentilis-3",3800.40343859993,"Accipiter_gentilis",-125.441985,56.159482,-69.666667,48.15,1970,2014,1994,2005,23352504.9256385
"Accipiter_gentilis-6","Accipiter_gentilis-3",303.141572750883,"Accipiter_gentilis",-66.291594,46.666605,-69.666667,48.15,1970,2014,1994,2005,2971330.48724701
"Accipiter_gentilis-7","Accipiter_gentilis-3",586.152495431027,"Accipiter_gentilis",-73.107078,52.941847,-69.666667,48.15,1986,2014,1994,2005,4306727.42043221
"Accipiter_gentilis-8","Accipiter_gentilis-3",2580.12026610064,"Accipiter_gentilis",-105.758445,55.410147,-69.666667,48.15,1970,2014,1994,2005,16601491.0276772
"Accipiter_gentilis-5","Accipiter_gentilis-4",3395.39023121664,"Accipiter_gentilis",-125.441985,56.159482,-83.05,42.033333,1970,2014,1975,2004,22488562.5347124
"Accipiter_gentilis-6","Accipiter_gentilis-4",1426.76203052381,"Accipiter_gentilis",-66.291594,46.666605,-83.05,42.033333,1970,2014,1975,2004,8249059.98602199
"Accipiter_gentilis-7","Accipiter_gentilis-4",1423.20834857335,"Accipiter_gentilis",-73.107078,52.941847,-83.05,42.033333,1986,2014,1975,2004,10111585.1854813
"Accipiter_gentilis-8","Accipiter_gentilis-4",2217.2279406548,"Accipiter_gentilis",-105.758445,55.410147,-83.05,42.033333,1970,2014,1975,2004,15965047.3813245
"Accipiter_gentilis-6","Accipiter_gentilis-5",4103.12507739161,"Accipiter_gentilis",-66.291594,46.666605,-125.441985,56.159482,1970,2014,1970,2014,25111195.5819715
"Accipiter_gentilis-7","Accipiter_gentilis-5",3315.67886062118,"Accipiter_gentilis",-73.107078,52.941847,-125.441985,56.159482,1986,2014,1970,2014,21035009.3304878
"Accipiter_gentilis-8","Accipiter_gentilis-5",1230.70581655474,"Accipiter_gentilis",-105.758445,55.410147,-125.441985,56.159482,1970,2014,1970,2014,7052833.15753991
"Accipiter_gentilis-7","Accipiter_gentilis-6",852.255453591825,"Accipiter_gentilis",-73.107078,52.941847,-66.291594,46.666605,1986,2014,1970,2014,6979189.5583617
"Accipiter_gentilis-8","Accipiter_gentilis-6",2883.26161717945,"Accipiter_gentilis",-105.758445,55.410147,-66.291594,46.666605,1970,2014,1970,2014,18360181.6840103
"Accipiter_gentilis-8","Accipiter_gentilis-7",2125.04314211773,"Accipiter_gentilis",-105.758445,55.410147,-73.107078,52.941847,1970,2014,1986,2014,14283995.4325266
"Accipiter_striatus-2","Accipiter_striatus-1",1100.63902346417,"Accipiter_striatus",-97.404876,55.443204,-114.807219,55.142948,1970,2014,1970,2014,6830693.3260169
"Accipiter_striatus-3","Accipiter_striatus-1",1874.50110210871,"Accipiter_striatus",-87.125633,51.433288,-114.807219,55.142948,1970,2014,1970,2014,12350015.3681788
"Accipiter_striatus-4","Accipiter_striatus-1",3153.88075000417,"Accipiter_striatus",-69.666667,48.15,-114.807219,55.142948,1994,2005,1970,2014,20299861.9418844
"Accipiter_striatus-5","Accipiter_striatus-1",676.774941061268,"Accipiter_striatus",-125.441985,56.159482,-114.807219,55.142948,1976,2014,1970,2014,4200092.57108684
"Accipiter_striatus-6","Accipiter_striatus-1",3457.01678326725,"Accipiter_striatus",-66.291594,46.666605,-114.807219,55.142948,1974,2014,1970,2014,22058552.5982174
"Accipiter_striatus-7","Accipiter_striatus-1",3446.93543990314,"Accipiter_striatus",-60.79843,53.003392,-114.807219,55.142948,1970,2014,1970,2014,23583452.7999028
"Accipiter_striatus-8","Accipiter_striatus-1",3770.19872045143,"Accipiter_striatus",-62.735984,45.290147,-114.807219,55.142948,1974,2014,1970,2014,24302133.2818065
"Accipiter_striatus-9","Accipiter_striatus-1",2695.8157002271,"Accipiter_striatus",-73.107078,52.941847,-114.807219,55.142948,1974,2014,1970,2014,17982366.3467338
"Accipiter_striatus-3","Accipiter_striatus-2",813.544757769533,"Accipiter_striatus",-87.125633,51.433288,-97.404876,55.443204,1970,2014,1970,2014,5905927.06685705
"Accipiter_striatus-4","Accipiter_striatus-2",2057.46644815654,"Accipiter_striatus",-69.666667,48.15,-97.404876,55.443204,1994,2005,1970,2014,13855773.6405626
"Accipiter_striatus-5","Accipiter_striatus-2",1743.94409296561,"Accipiter_striatus",-125.441985,56.159482,-97.404876,55.443204,1976,2014,1970,2014,9873975.15806541
"Accipiter_striatus-6","Accipiter_striatus-2",2360.46737892481,"Accipiter_striatus",-66.291594,46.666605,-97.404876,55.443204,1974,2014,1970,2014,15614464.2968957
"Accipiter_striatus-7","Accipiter_striatus-2",2369.80926510305,"Accipiter_striatus",-60.79843,53.003392,-97.404876,55.443204,1970,2014,1970,2014,17139364.498581
"Accipiter_striatus-8","Accipiter_striatus-2",2672.53612521533,"Accipiter_striatus",-62.735984,45.290147,-97.404876,55.443204,1974,2014,1970,2014,17858044.9804848
"Accipiter_striatus-9","Accipiter_striatus-2",1598.24787924074,"Accipiter_striatus",-73.107078,52.941847,-97.404876,55.443204,1974,2014,1970,2014,11538278.045412
"Accipiter_striatus-4","Accipiter_striatus-3",1303.24560559054,"Accipiter_striatus",-69.666667,48.15,-87.125633,51.433288,1994,2005,1970,2014,8859988.89715171
"Accipiter_striatus-5","Accipiter_striatus-3",2538.82553556508,"Accipiter_striatus",-125.441985,56.159482,-87.125633,51.433288,1976,2014,1970,2014,15402658.3519329
"Accipiter_striatus-6","Accipiter_striatus-3",1603.38742980375,"Accipiter_striatus",-66.291594,46.666605,-87.125633,51.433288,1974,2014,1970,2014,10618679.5534847
"Accipiter_striatus-7","Accipiter_striatus-3",1793.79415729332,"Accipiter_striatus",-60.79843,53.003392,-87.125633,51.433288,1970,2014,1970,2014,12143579.7551701
"Accipiter_striatus-8","Accipiter_striatus-3",1918.17062349111,"Accipiter_striatus",-62.735984,45.290147,-87.125633,51.433288,1974,2014,1970,2014,12862260.2370739
"Accipiter_striatus-9","Accipiter_striatus-3",969.726583565284,"Accipiter_striatus",-73.107078,52.941847,-87.125633,51.433288,1974,2014,1970,2014,6542493.30200111
"Accipiter_striatus-5","Accipiter_striatus-4",3800.40343859993,"Accipiter_striatus",-125.441985,56.159482,-69.666667,48.15,1976,2014,1994,2005,23352504.9256385
"Accipiter_striatus-6","Accipiter_striatus-4",303.141572750883,"Accipiter_striatus",-66.291594,46.666605,-69.666667,48.15,1974,2014,1994,2005,2971330.48724701
"Accipiter_striatus-7","Accipiter_striatus-4",826.548655721289,"Accipiter_striatus",-60.79843,53.003392,-69.666667,48.15,1970,2014,1994,2005,6240857.53801566
"Accipiter_striatus-8","Accipiter_striatus-4",616.991548839454,"Accipiter_striatus",-62.735984,45.290147,-69.666667,48.15,1974,2014,1994,2005,5214911.17083612
"Accipiter_striatus-9","Accipiter_striatus-4",586.152495431027,"Accipiter_striatus",-73.107078,52.941847,-69.666667,48.15,1974,2014,1994,2005,4306727.42043221
"Accipiter_striatus-6","Accipiter_striatus-5",4103.12507739161,"Accipiter_striatus",-66.291594,46.666605,-125.441985,56.159482,1974,2014,1976,2014,25111195.5819715
"Accipiter_striatus-7","Accipiter_striatus-5",4030.62109264126,"Accipiter_striatus",-60.79843,53.003392,-125.441985,56.159482,1970,2014,1976,2014,26636095.7836568
"Accipiter_striatus-8","Accipiter_striatus-5",4414.03644038297,"Accipiter_striatus",-62.735984,45.290147,-125.441985,56.159482,1974,2014,1976,2014,27354776.2655606
"Accipiter_striatus-9","Accipiter_striatus-5",3315.67886062118,"Accipiter_striatus",-73.107078,52.941847,-125.441985,56.159482,1974,2014,1976,2014,21035009.3304878
"Accipiter_striatus-7","Accipiter_striatus-6",807.6278342471,"Accipiter_striatus",-60.79843,53.003392,-66.291594,46.666605,1970,2014,1974,2014,9163406.78670895
"Accipiter_striatus-8","Accipiter_striatus-6",314.81439847364,"Accipiter_striatus",-62.735984,45.290147,-66.291594,46.666605,1974,2014,1974,2014,2389773.9540751
"Accipiter_striatus-9","Accipiter_striatus-6",852.255453591825,"Accipiter_striatus",-73.107078,52.941847,-66.291594,46.666605,1974,2014,1974,2014,6979189.5583617
"Accipiter_striatus-8","Accipiter_striatus-7",870.061281842238,"Accipiter_striatus",-62.735984,45.290147,-60.79843,53.003392,1974,2014,1970,2014,11406987.4702981
"Accipiter_striatus-9","Accipiter_striatus-7",824.140865528919,"Accipiter_striatus",-73.107078,52.941847,-60.79843,53.003392,1974,2014,1970,2014,5862509.09904144
